"model","h1","h2","h3","h4","h5","h6","h7","h8","h9","h10","h11","h12"
"RW",1,1,1,1,1,1,1,1,1,1,1,1
"Ridge",1.2715,NA,1.0989,NA,NA,0.899,NA,NA,NA,NA,NA,0.9835
"LASSO",0.8246,NA,0.7244,NA,NA,0.5915,NA,NA,NA,NA,NA,0.5284
"ElNET",0.8332,NA,0.7033,NA,NA,0.5873,NA,NA,NA,NA,NA,0.5212
"AdaLASSO",0.9041,NA,0.836,NA,NA,0.6988,NA,NA,NA,NA,NA,0.6367
"AdaElNET",0.9308,NA,0.8258,NA,NA,0.6885,NA,NA,NA,NA,NA,0.597
"RF",0.8204,NA,0.6953,NA,NA,0.6089,NA,NA,NA,NA,NA,0.621
"Bagging",0.8299,NA,0.812,NA,NA,0.9161,NA,NA,NA,NA,NA,0.7514
"Factor",1.0377,NA,0.9157,NA,NA,0.808,NA,NA,NA,NA,NA,0.7037
"T.Factor",0.9046,NA,0.7467,NA,NA,0.7983,NA,NA,NA,NA,NA,0.7106
"CSR",0.8413,NA,0.7176,NA,NA,0.732,NA,NA,NA,NA,NA,0.7419
"AR",0.8784,NA,0.7157,NA,NA,0.6452,NA,NA,NA,NA,NA,0.6303
"AR_BIC",0.8784,NA,0.7157,NA,NA,0.6452,NA,NA,NA,NA,NA,0.6283
"2SRR_AR",0.912,NA,0.7693,NA,NA,0.638,NA,NA,NA,NA,NA,0.6486
"2SRR_Factor",0.9541,NA,0.8345,NA,NA,0.7288,NA,NA,NA,NA,NA,0.6111
"2SRR_FAVAR",0.9572,NA,0.811,NA,NA,0.6704,NA,NA,NA,NA,NA,0.6929
"RidgeStep1_AR",0.9093,NA,0.7491,NA,NA,0.6344,NA,NA,NA,NA,NA,0.6384
"RidgeStep1_Factor",0.9301,NA,0.7894,NA,NA,0.6962,NA,NA,NA,NA,NA,0.5949
"RidgeStep1_FAVAR",0.9233,NA,0.7569,NA,NA,0.6686,NA,NA,NA,NA,NA,0.6821
