"model","h1","h3","h6","h12"
"RW",1,1,1,1
"Ridge",1.2715,1.0989,0.899,0.9835
"LASSO",0.8246,0.7244,0.5915,0.5284
"ElNET",0.8332,0.7033,0.5873,0.5212
"AdaLASSO",0.9041,0.836,0.6988,0.6367
"AdaElNET",0.9308,0.8258,0.6885,0.597
"RF",0.8204,0.6953,0.6089,0.621
"Bagging",0.8299,0.812,0.9161,0.7514
"Factor",1.0377,0.9157,0.808,0.7037
"T.Factor",0.9046,0.7467,0.7983,0.7106
"CSR",0.8413,0.7176,0.732,0.7419
"AR",0.8784,0.7157,0.6452,0.6303
"AR_BIC",0.8784,0.7157,0.6452,0.6283
"2SRR_AR",0.8827,0.7222,0.6153,0.6518
"2SRR_Factor",0.9477,0.8132,0.7201,0.617
"2SRR_FAVAR",0.9435,0.7591,0.6516,0.6588
"RidgeStep1_AR",0.9093,0.7491,0.6344,0.6384
"RidgeStep1_Factor",0.9301,0.7894,0.6962,0.5949
"RidgeStep1_FAVAR",0.9233,0.7569,0.6686,0.6821
